,;,Common Name,Scientific Name,Local Name (If Applicable),Region,Climate Requirements,Soil Type,Sun Light Needs,Water Needs,Growth Rate,Ecological Role,Traditional Uses
0,NaN,Soap pod,Acacia concinna,Shikakai,NaN,"Tropical to subtropical; thrives in rainforests, disturbed forests, and open grasslands; altitude 50–1050 m",Prefers well-drained loamy to sandy soil; tolerant to limestone,Full sunlight to partial shade,Moderate; grows in semi-moist to dry habitats,Moderate growth; sprawling shrub form,NaN,Bark rich in saponins; used in India as natural shampoo and hair conditioner; valued in Ayurveda for promoting scalp health and hair strength
1,NaN,Golden Leatherfern / Mangrove Fern,Acrostichum aureum,NaN,NaN,Prefers warm tropical climates; found in brackish and saline marshes within mangrove forests; occasional in freshwater swamps; cannot tolerate prolonged flooding,"Moist, saline, or brackish soils; tolerates high salinity in sporophyte stage but not in gametophyte",Partial to full sunlight; thrives on landward edge of mangroves,Moderate; adapted to semi-aquatic marshes but not deep water,Moderate; grows up to 3 feet tall; perennial,"Among the first colonizers on mangrove edges; provides shade for young mangrove trees; stabilizes soil; dense thickets offer habitat and nesting grounds for birds (e.g., Purple Heron); considered a weed when it dominates cleared mangrove areas","Rhizomes pounded into paste for wounds; leaves used to stop bleeding; methanolic extract studied for selective cytotoxic activity against cancerous cells (e.g., HeLa); young shoots eaten raw and leaves used as cattle feed in folk practice"
2,NaN,Neem,Azadirachta indica,NaN,NaN,"Tropical to subtropical; hardy tree tolerant of drought and low water availability; thrives in low-lying, deciduous, and wooded areas",Prefers well-drained sandy to loamy soils; tolerates poor and dry soils,Full sunlight,Low; highly drought-resistant,Moderate to fast growth; up to 15 m tall,Provides shade and wind protection; improves soil fertility; acts as natural pest repellent in agriculture; supports biodiversity near temples and villages,"Integral to Ayurveda and Unani medicine; used for malaria, diabetes, cardiovascular and skin diseases, antiulcer and antifungal remedies; all parts (root, bark, leaves, flowers, fruit, seed) used medicinally; neem oil used as pesticide and cosmetic; young shoots and flowers eaten during Ugadi and Gudi Padwa; sacred in Hindu rituals—leaves and flowers used in Mariamman festivals and for purification ceremonies"
3,NaN,Mosquito Fern,Azolla pinnata,NaN,NaN,"Tropical to subtropical; prefers warm, wet climates; cannot tolerate prolonged freezing; sensitive to salinity (dies above 5.5‰)","Aquatic, free-floating; grows best in nutrient-rich freshwater with neutral pH",Prefers full sunlight but can survive in partial shade,Very high; thrives in flooded or waterlogged conditions,Fast-growing aquatic fern; forms dense mats on still water,Symbiotic relationship with nitrogen-fixing Anabaena cyanobacteria; improves soil fertility in paddy fields; provides habitat for aquatic organisms; can suppress mosquito breeding,Used as biofertilizer in rice cultivation due to nitrogen fixation; used as livestock and fish feed; considered symbolic in folklore for repelling mosquitoes (“mosquito fern” myth); occasionally cultivated as an ornamental aquatic plant
4,NaN,Tiny Periwinkle,Catharanthus roseus,NaN,NaN,"Warm tropical/subtropical; tolerant and hardy with low nutrient/water demands; occurs from sea level–900 m; found in open woods, shrublands, grasslands, disturbed sites, roadsides, beaches, and limestone rocks",Well-drained soils; grows on varied substrates including limestone,Full sun to partial shade,Average overall; water moderately in growing season; sparingly in winter,up to ~3 ft,Insect-pollinated; adaptable pioneer in disturbed areas; supports urban/roadside greening,"Medicinal use in Ayurveda/Folk/Modern contexts; used for organ-specific disorders incl. cancer, diabetes, hypertension; also cultivated as an ornamental"
5,NaN,Turmeric,Curcuma longa,Haldi,NaN,"Grows in cultivated fields, plains, gardens, kitchen gardens, shaded moist areas, and rocky cliffs in primary forests","Moist, well-drained soil",Prefers partial shade,Average,Grows 3–6 feet tall,Provides ground cover in cultivated and natural habitats; aromatic rhizomes attract pollinators and aid soil aeration,"Rhizomes used medicinally and as spice; contains curcumin with antioxidant, anti-inflammatory, and antimicrobial properties; used in Ayurveda for treating pain, inflammation, infections, and systemic disorders; food spice in Indian cuisine"
6,NaN,"Hiptage, Helicopter flower",Hiptage benghalensis,NaN,NaN,Grows in damp places; needs presence of other trees in vicinity,NaN,NaN,Average,6–10 ft (vine),Forms woody creepers; spreads rapidly forming thickets and smothering vegetation; considered a weed in many regions,"Medicinal: used for rheumatism, scabies, asthma, skin complaints & ulcers, inflammation, cough; systems: Ayurveda, Folk Medicine; parts used: root, bark, flower."
7,NaN,Club Moss,Isoetes coromandelin,NaN,NaN,Usually in aquatic environments and moist soils,NaN,NaN,NaN,Up to 3 feet,Often locally dominant; can form extensive stands,NaN
8,NaN,Jasmine,Jasminum officinale,NaN,NaN,Tropical regions,NaN,NaN,Average,Woody shrub; 3–6 ft,NaN,"cultivated for medicinal, cosmetic, ornamental, religious use"
9,NaN,Mahua,Madhuca longifolia,NaN,NaN,Tropical,NaN,NaN,NaN,Fast-growing; ~20 m tall (more than 10 ft),Spreading root system used to prevent soil erosion,"Human consumption (edible flowers & fruits); medicinal (Ayurveda, Folk); religious use; wood/timber; seed oil for soap & candles; seed cake as organic fertilizer; explored for biofuel"
10,NaN,Small waterclover,Marsilea minuta,NaN,NaN,"Temporarily flooded habitats; shallow pools, river edges, canals, ditches, rice fields",NaN,NaN,NaN,NaN,"Often locally dominant; forms large, dense colonies in temporarily flooded places",Folk medicine (plant used); food use of sporophyte by natives of Andaman Islands
11,NaN,Spanish cherry,Mimusops elengi,NaN,NaN,grows where rainfall is slightly seasonal,Requires fertile soil to mature,NaN,Doesn’t require a lot of water,NaN,NaN,Ayurvedic/Unani & folk medicine
12,NaN,Orange Jasmine,Murraya exotica,NaN,NaN,Tropical,Grows on soils from sedimentary & igneous rocks,NaN,NaN,NaN,Contributes to biodiversity; protects soil; furnishes food & cover for wildlife,"Ornamental hedge/topiary/bonsai; wood for small fine items; folk medicinal uses (joint pain, body aches, venereal disease, diarrhea, dysentery, wounds; abortion noted at high doses)."
13,NaN,Water Lily,Nelumbo nucifera,NaN,NaN,"Warm season; thrives in shallow, permanent water bodies","Rooted in nutrient-rich mud/silt of ponds, lakes, slow rivers",Full sun,High (aquatic hydrophyte; constant standing water),Moderate–fast in warm months,Increases dissolved oxygen,"Food (rhizomes, seeds; leaves as plates)"
14,NaN,Ashoka,Saraca indica,NaN,NaN,Requires average rainfall; grows in regular soil,Regular soil,NaN,Average,NaN,NaN,flowers studied for anti-skin cancer properties
15,NaN,Country Mallow,Abutilon indicum,Atibala,NaN,"Tropical to subtropical; found at low elevations near the seas; grows in open, disturbed areas",Fertile well-drained soil,Full sun or part day shade,Average,Perennial plant with stems up to about 2 metres that can grow annually from base,Has escaped from cultivation and has become widespread as a weed in the tropics; dead-heading plants to prevent seeding can enhance longevity; notably resistant to honey fungus,"Roasted seeds are eaten; all parts contain mmucilage which are responsible for healing and soothing properties; juice of leaves is demulcent and diuretic and can be used to treat fever, colic, clean wounds/ulcers; leaf or seed paste can be applied for wounds, boils, ulcers; seeds are laxatives and can be used for hemorrhoids and cough; infusion of the root can be used as treatment for leprosy and can be taken internally as cooling remedy for coughs/fevers; leaves powder decoction which can be used twice a day to treat piles; should be avoided by pregnant women and lactating mothers"
16,NaN,Indian Jujube,Ziziphus mauritiana Lam.,NaN,NaN,"thrives under extreme temperatures and dry conditions, but it also grows well in humid and hot climates",The plant grows in well-drained soils and is especially found in sandy soils of arid regions,NaN,The plant tolerates dry conditions extremely well,NaN,"the plant can form thickets through sucker growth, stabilize coastal dune sand with its extensive root system, and act as a living fence, with its spiny branches helping to deter livestock.","used to treat cold and cough, though it is advised to be used cautiously by pregnant women. The fruits are eaten raw, preserved, or unripe with salt, and the seeds are consumed raw as a snack. Medicinally, the plant is used to address chronic fatigue, digestive issues, diarrhoea, bronchitis, pharyngitis, anaemia, irritability, insomnia, nervous exhaustion, night sweats, palpitations, and excessive perspiration. The roots treat dyspepsia and fevers, while the leaves help relieve cough, asthma, boils, and impetigo, and are sometimes applied for hair growth or used as a plaster for urinary difficulties"
