Plant ID,Common Name,Scientific Name,Local Name (If Applicable),Region,Climate Requirements,Soil Type,Sun Light Needs,Water Needs,Growth Rate,Ecological Role,Traditional Uses
1,Soap pod,Acacia concinna,Shikakai,,"Tropical to subtropical; thrives in rainforests, disturbed forests, and open grasslands; altitude 50–1050 m",Prefers well-drained loamy to sandy soil; tolerant to limestone,Full sunlight to partial shade,Moderate; grows in semi-moist to dry habitats,Moderate growth; sprawling shrub form,,Bark rich in saponins; used in India as natural shampoo and hair conditioner; valued in Ayurveda for promoting scalp health and hair strength
2,Golden Leatherfern / Mangrove Fern,Acrostichum aureum,,,Prefers warm tropical climates; found in brackish and saline marshes within mangrove forests; occasional in freshwater swamps; cannot tolerate prolonged flooding,"Moist, saline, or brackish soils; tolerates high salinity in sporophyte stage but not in gametophyte",Partial to full sunlight; thrives on landward edge of mangroves,Moderate; adapted to semi-aquatic marshes but not deep water,Moderate; grows up to 3 feet tall; perennial,"Among the first colonizers on mangrove edges; provides shade for young mangrove trees; stabilizes soil; dense thickets offer habitat and nesting grounds for birds (e.g., Purple Heron); considered a weed when it dominates cleared mangrove areas","Rhizomes pounded into paste for wounds; leaves used to stop bleeding; methanolic extract studied for selective cytotoxic activity against cancerous cells (e.g., HeLa); young shoots eaten raw and leaves used as cattle feed in folk practice"
3,Neem,Azadirachta indica,,,"Tropical to subtropical; hardy tree tolerant of drought and low water availability; thrives in low-lying, deciduous, and wooded areas",Prefers well-drained sandy to loamy soils; tolerates poor and dry soils,Full sunlight,Low; highly drought-resistant,Moderate to fast growth; up to 15 m tall,Provides shade and wind protection; improves soil fertility; acts as natural pest repellent in agriculture; supports biodiversity near temples and villages,"Integral to Ayurveda and Unani medicine; used for malaria, diabetes, cardiovascular and skin diseases, antiulcer and antifungal remedies; all parts (root, bark, leaves, flowers, fruit, seed) used medicinally; neem oil used as pesticide and cosmetic; young shoots and flowers eaten during Ugadi and Gudi Padwa; sacred in Hindu rituals—leaves and flowers used in Mariamman festivals and for purification ceremonies"
4,Mosquito Fern,Azolla pinnata,,,"Tropical to subtropical; prefers warm, wet climates; cannot tolerate prolonged freezing; sensitive to salinity (dies above 5.5‰)","Aquatic, free-floating; grows best in nutrient-rich freshwater with neutral pH",Prefers full sunlight but can survive in partial shade,Very high; thrives in flooded or waterlogged conditions,Fast-growing aquatic fern; forms dense mats on still water,Symbiotic relationship with nitrogen-fixing Anabaena cyanobacteria; improves soil fertility in paddy fields; provides habitat for aquatic organisms; can suppress mosquito breeding,Used as biofertilizer in rice cultivation due to nitrogen fixation; used as livestock and fish feed; considered symbolic in folklore for repelling mosquitoes (“mosquito fern” myth); occasionally cultivated as an ornamental aquatic plant
5,Tiny Periwinkle,Catharanthus roseus,,,"Warm tropical/subtropical; tolerant and hardy with low nutrient/water demands; occurs from sea level–900 m; found in open woods, shrublands, grasslands, disturbed sites, roadsides, beaches, and limestone rocks",Well-drained soils; grows on varied substrates including limestone,Full sun to partial shade,Average overall; water moderately in growing season; sparingly in winter,up to ~3 ft,Insect-pollinated; adaptable pioneer in disturbed areas; supports urban/roadside greening,"Medicinal use in Ayurveda/Folk/Modern contexts; used for organ-specific disorders incl. cancer, diabetes, hypertension; also cultivated as an ornamental"
6,Turmeric,Curcuma longa,Haldi,,"Grows in cultivated fields, plains, gardens, kitchen gardens, shaded moist areas, and rocky cliffs in primary forests","Moist, well-drained soil",Prefers partial shade,Average,Grows 3–6 feet tall,Provides ground cover in cultivated and natural habitats; aromatic rhizomes attract pollinators and aid soil aeration,"Rhizomes used medicinally and as spice; contains curcumin with antioxidant, anti-inflammatory, and antimicrobial properties; used in Ayurveda for treating pain, inflammation, infections, and systemic disorders; food spice in Indian cuisine"
7,"Hiptage, Helicopter flower",Hiptage benghalensis,,,Grows in damp places; needs presence of other trees in vicinity,,,Average,6–10 ft (vine),Forms woody creepers; spreads rapidly forming thickets and smothering vegetation; considered a weed in many regions,"Medicinal: used for rheumatism, scabies, asthma, skin complaints & ulcers, inflammation, cough; systems: Ayurveda, Folk Medicine; parts used: root, bark, flower."
8,Club Moss,Isoetes coromandelin,,,Usually in aquatic environments and moist soils,,,,Up to 3 feet,Often locally dominant; can form extensive stands,
9,Jasmine,Jasminum officinale,,,Tropical regions,,,Average,Woody shrub; 3–6 ft,,"cultivated for medicinal, cosmetic, ornamental, religious use"
10,Mahua,Madhuca longifolia,,,Tropical,,,,Fast-growing; ~20 m tall (more than 10 ft),Spreading root system used to prevent soil erosion,"Human consumption (edible flowers & fruits); medicinal (Ayurveda, Folk); religious use; wood/timber; seed oil for soap & candles; seed cake as organic fertilizer; explored for biofuel"
